id_local;id_distrito_local;desc_distrito_local;id_barrio_local;desc_barrio_local;cod_barrio_local;id_seccion_censal_local;desc_seccion_censal_local;coordenada_x_local;coordenada_y_local;id_tipo_acceso_local;desc_tipo_acceso_local;id_situacion_local;desc_situacion_local;id_vial_edificio;clase_vial_edificio;desc_vial_edificio;id_ndp_edificio;id_clase_ndp_edificio;nom_edificio;num_edificio;cal_edificio;secuencial_local_PC;id_vial_acceso;clase_vial_acceso;desc_vial_acceso;id_ndp_acceso;id_clase_ndp_acceso;nom_acceso;num_acceso;cal_acceso;coordenada_x_agrupacion;coordenada_y_agrupacion;id_agrupacion;nombre_agrupacion;id_tipo_agrup;desc_tipo_agrup;id_planta_agrupado;id_local_agrupado;rotulo;id_seccion;desc_seccion;id_division;desc_division;id_epigrafe;desc_epigrafe;fx_carga;fx_datos_ini;fx_datos_fin
10000003;1;CENTRO              ;104;JUSTICIA            ;4;1088;88;440554.6;4475338.5;1;Puerta Calle;1;Abierto;92900;CALLE                   ;BARCELO                                           ;11005235;1;NUM;5;  ;10;92900;CALLE                   ;BARCELO                                           ;11005235;1;NUM;5;  ;;;-1;SIN AGRUPACION;-1;SIN AGRUPACION;PB;3;VITACA;I;HOSTELERÍA;56;SERVICIOS DE COMIDAS Y BEBIDAS;561006;CAFETERIA;2023-09-08 07:00:48.237;01/09/2023;01/09/2023
10000004;1;CENTRO              ;105;UNIVERSIDAD         ;5;1106;106;439945.6;4475591.5;1;Puerta Calle;1;Abierto;4700;CALLE                   ;ACUERDO                                           ;11006452;1;NUM;31;  ;10;4700;CALLE                   ;ACUERDO                                           ;11006452;1;NUM;31;  ;;;-1;SIN AGRUPACION;-1;SIN AGRUPACION;PB;2;CAMDEN COFFEE ROASTERS              ;I;HOSTELERÍA;56;SERVICIOS DE COMIDAS Y BEBIDAS;561006;CAFETERIA;2023-09-08 07:00:48.237;01/09/2023;01/09/2023
10000097;1;CENTRO              ;104;JUSTICIA            ;4;1077;77;440851.6;4474857.5;1;Puerta Calle;1;Abierto;81800;CALLE                   ;AUGUSTO FIGUEROA                                  ;11004589;1;NUM;37;  ;20;437400;CALLE                   ;LIBERTAD                                          ;11004588;1;NUM;31;  ;;;-1;SIN AGRUPACION;-1;SIN AGRUPACION;PB;2;GRACIAS, PADRE;I;HOSTELERÍA;56;SERVICIOS DE COMIDAS Y BEBIDAS;561001;RESTAURANTE;2023-09-08 07:00:48.237;01/09/2023;01/09/2023
10000102;1;CENTRO              ;106;SOL                 ;6;1123;123;440208.6;4474240.5;1;Puerta Calle;1;Abierto;68300;CALLE                   ;ARENAL                                            ;11007806;1;NUM;1;  ;30;614900;PLAZA                   ;PUERTA DEL SOL                                    ;20006804;1;NUM;8;  ;;;-1;SIN AGRUPACION;-1;SIN AGRUPACION;PB;1;LA MALLORQUINA;I;HOSTELERÍA;56;SERVICIOS DE COMIDAS Y BEBIDAS;561006;CAFETERIA;2023-09-08 07:00:48.237;01/09/2023;01/09/2023
10000105;1;CENTRO              ;104;JUSTICIA            ;4;1084;84;440958.6;4475092.5;1;Puerta Calle;1;Abierto;99100;CALLE                   ;BELEN                                             ;11005014;1;NUM;13;  ;10;99100;CALLE                   ;BELEN                                             ;11005014;1;NUM;13;  ;;;-1;SIN AGRUPACION;-1;SIN AGRUPACION;PB;IZ;LA MORDIDA;I;HOSTELERÍA;56;SERVICIOS DE COMIDAS Y BEBIDAS;561001;RESTAURANTE;2023-09-08 07:00:48.237;01/09/2023;01/09/2023
10000150;1;CENTRO              ;106;SOL                 ;6;1121;121;440044.6;4474063.5;1;Puerta Calle;1;Abierto;498000;PLAZA                   ;MAYOR                                             ;11007683;1;NUM;1;  ;10;498000;PLAZA                   ;MAYOR                                             ;11007683;1;NUM;1;  ;;;-1;SIN AGRUPACION;-1;SIN AGRUPACION;PB;4;CAFE LOS ARCOS BAR;I;HOSTELERÍA;56;SERVICIOS DE COMIDAS Y BEBIDAS;561005;BAR CON COCINA;2023-09-08 07:00:48.237;01/09/2023;01/09/2023
10000226;1;CENTRO              ;102;EMBAJADORES         ;2;1059;59;0.0;0.0;0;Agrupado;1;Abierto;253200;CALLE                   ;DUQUE DE FERNAN NUÑEZ                             ;20004950;1;NUM;4;  ;0;253200;CALLE                   ;DUQUE DE FERNAN NUÑEZ                             ;20004950;1;NUM;4;  ;440706.6;4473659.5;99000065;MERCADO MUNICIPAL ANTON MARTIN;12;Mercado Municipal;PB;40;CARNICERIA M LOPEZ;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS DE MOTOR Y MOTOCICLETAS";47;COMERCIO AL POR MENOR, EXCEPTO DE VEHÍCULOS DE MOTOR Y MOTOCICLETAS;472201;COMERCIO AL POR MENOR DE CARNICERIA;2023-09-08 07:00:48.237;01/09/2023;01/09/2023
10000238;1;CENTRO              ;102;EMBAJADORES         ;2;1059;59;0.0;0.0;0;Agrupado;4;Cerrado;253200;CALLE                   ;DUQUE DE FERNAN NUÑEZ                             ;20004950;1;NUM;4;  ;0;253200;CALLE                   ;DUQUE DE FERNAN NUÑEZ                             ;20004950;1;NUM;4;  ;440706.6;4473659.5;99000065;MERCADO MUNICIPAL ANTON MARTIN;12;Mercado Municipal;SO;13;CARNICERIA MARIANO ARAUJO;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS DE MOTOR Y MOTOCICLETAS";47;COMERCIO AL POR MENOR, EXCEPTO DE VEHÍCULOS DE MOTOR Y MOTOCICLETAS;472201;COMERCIO AL POR MENOR DE CARNICERIA;2023-09-08 07:00:48.237;01/09/2023;01/09/2023
10000258;1;CENTRO              ;106;SOL                 ;6;1123;123;440127.6;4474277.5;1;Puerta Calle;1;Abierto;68300;CALLE                   ;ARENAL                                            ;11007805;1;NUM;7;  ;20;68300;CALLE                   ;ARENAL                                            ;11007805;1;NUM;7;  ;;;-1;SIN AGRUPACION;-1;SIN AGRUPACION;PB;2;EL PATIO;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS DE MOTOR Y MOTOCICLETAS";47;COMERCIO AL POR MENOR, EXCEPTO DE VEHÍCULOS DE MOTOR Y MOTOCICLETAS;471902;COMERCIO AL POR MENOR DE PRODUCTOS DE PRECIO UNICO, BAZARES Y ASIMILABLES;2023-09-08 07:00:48.237;01/09/2023;01/09/2023
20000967;2;ARGANZUELA          ;203;CHOPERA             ;3;2032;32;440659.6;4472419.5;1;Puerta Calle;1;Abierto;262000;CALLE                   ;EMBAJADORES                                       ;11008713;1;NUM;114;  ;40;697175;GLORIETA                ;SANTA MARIA DE LA CABEZA                          ;20007470;1;NUM;8;  ;;;-1;SIN AGRUPACION;-1;SIN AGRUPACION;PB;7;LA SORIANITA;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS DE MOTOR Y MOTOCICLETAS";47;COMERCIO AL POR MENOR, EXCEPTO DE VEHÍCULOS DE MOTOR Y MOTOCICLETAS;472401;COMERCIO AL POR MENOR DE PAN Y PRODUCTOS DE PANADERIA Y BOLLERIA CON OBRADOR;2023-09-08 07:00:48.237;01/09/2023;01/09/2023
20000971;2;ARGANZUELA          ;206;PALOS DE LA FRONTERA;6;2082;82;441178.6;4473012.5;1;Puerta Calle;1;Abierto;234700;PASEO                   ;DELICIAS                                          ;11010445;1;NUM;15;  ;10;234700;PASEO                   ;DELICIAS                                          ;11010445;1;NUM;15;  ;;;-1;SIN AGRUPACION;-1;SIN AGRUPACION;PB;A;EL OBRADOR DE GOYA;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS DE MOTOR Y MOTOCICLETAS";47;COMERCIO AL POR MENOR, EXCEPTO DE VEHÍCULOS DE MOTOR Y MOTOCICLETAS;472404;COMERCIO AL POR MENOR DE  PASTELERIA, CONFITERIA, REPOSTERIA CON OBRADOR-SIN BARRA DEGUSTACION;2023-09-08 07:00:48.237;01/09/2023;01/09/2023
20000985;2;ARGANZUELA          ;206;PALOS DE LA FRONTERA;6;2072;72;440530.6;4472868.5;1;Puerta Calle;4;Cerrado;705600;CALLE                   ;JUAN SEBASTIAN ELCANO                             ;11010174;1;NUM;7;  ;10;705600;CALLE                   ;JUAN SEBASTIAN ELCANO                             ;11010174;1;NUM;7;  ;;;-1;SIN AGRUPACION;-1;SIN AGRUPACION;PB;;SPA  ELITE;S;OTROS SERVICIOS;96;OTROS SERVICIOS PERSONALES;960401;BALNEARIOS Y SPA URBANOS;2023-09-08 07:00:48.237;01/09/2023;01/09/2023
20000987;2;ARGANZUELA          ;202;ACACIAS             ;2;2087;87;439681.6;4472763.5;1;Puerta Calle;1;Abierto;547300;PASEO                   ;OLMOS                                             ;20178356;1;NUM;28;  ;10;547300;PASEO                   ;OLMOS                                             ;20178356;1;NUM;28;  ;;;-1;SIN AGRUPACION;-1;SIN AGRUPACION;PB;L3;TOWERS IRISH PUB;I;HOSTELERÍA;56;SERVICIOS DE COMIDAS Y BEBIDAS;561005;BAR CON COCINA;2023-09-08 07:00:48.237;01/09/2023;01/09/2023
20000998;2;ARGANZUELA          ;202;ACACIAS             ;2;2031;31;440569.6;4472490.5;1;Puerta Calle;1;Abierto;697200;PASEO                   ;SANTA MARIA DE LA CABEZA                          ;11008706;1;NUM;66;  ;30;917;PASEO                   ;JUAN ANTONIO VALLEJO-NAJERA BOTAS                 ;31042018;1;NUM;1;  ;;;-1;SIN AGRUPACION;-1;SIN AGRUPACION;PB;2;LA ANDALUZA LOW COST;I;HOSTELERÍA;56;SERVICIOS DE COMIDAS Y BEBIDAS;561001;RESTAURANTE;2023-09-08 07:00:48.237;01/09/2023;01/09/2023
10000003;1;CENTRO              ;104;JUSTICIA            ;4;1088;88;440554.6;4475338.5;1;Puerta Calle;1;Abierto;92900;CALLE                   ;BARCELO                                           ;11005235;1;NUM;5;  ;10;92900;CALLE                   ;BARCELO                                           ;11005235;1;NUM;5;  ;;;-1;SIN AGRUPACION;-1;SIN AGRUPACION;PB;3;VITACA;I;HOSTELERÍA;56;SERVICIOS DE COMIDAS Y BEBIDAS;561004;BAR RESTAURANTE;2023-09-08 07:00:48.237;01/09/2023;01/09/2023
10000102;1;CENTRO              ;106;SOL                 ;6;1123;123;440208.6;4474240.5;1;Puerta Calle;1;Abierto;68300;CALLE                   ;ARENAL                                            ;11007806;1;NUM;1;  ;30;614900;PLAZA                   ;PUERTA DEL SOL                                    ;20006804;1;NUM;8;  ;;;-1;SIN AGRUPACION;-1;SIN AGRUPACION;PB;1;LA MALLORQUINA;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS DE MOTOR Y MOTOCICLETAS";47;COMERCIO AL POR MENOR, EXCEPTO DE VEHÍCULOS DE MOTOR Y MOTOCICLETAS;472403;COMERCIO AL POR MENOR DE PASTELERIA, CONFITERIA, REPOSTERIA CON OBRADOR-BARRA DEGUSTACION;2023-09-08 07:00:48.237;01/09/2023;01/09/2023
10000162;1;CENTRO              ;104;JUSTICIA            ;4;1088;88;0.0;0.0;0;Agrupado;1;Abierto;92900;CALLE                   ;BARCELO                                           ;11005232;1;NUM;6;  ;0;92900;CALLE                   ;BARCELO                                           ;11005232;1;NUM;6;  ;440692.6;4475369.5;99000056;MERCADO MUNICIPAL DE  BARCELO;12;Mercado Municipal;SO;101;POLLERIA ALIAN BARCELO (PTO. 101);G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS DE MOTOR Y MOTOCICLETAS";47;COMERCIO AL POR MENOR, EXCEPTO DE VEHÍCULOS DE MOTOR Y MOTOCICLETAS;472206;COMERCIO AL POR MENOR DE AVES, HUEVOS Y CAZA SIN OBRADOR;2023-09-08 07:00:48.237;01/09/2023;01/09/2023
10000224;1;CENTRO              ;102;EMBAJADORES         ;2;1035;35;0.0;0.0;0;Agrupado;1;Abierto;262000;CALLE                   ;EMBAJADORES                                       ;11002143;1;NUM;41;  ;0;262000;CALLE                   ;EMBAJADORES                                       ;11002143;1;NUM;41;  ;440295.6;4473246.5;99000057;MERCADO MUNICIPAL DE SAN FERNANDO;12;Mercado Municipal;PB;1;PAIS DE LOS CEVICHES L01/ANTIGUO PUESTO 70;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS DE MOTOR Y MOTOCICLETAS";47;COMERCIO AL POR MENOR, EXCEPTO DE VEHÍCULOS DE MOTOR Y MOTOCICLETAS;472201;COMERCIO AL POR MENOR DE CARNICERIA;2023-09-08 07:00:48.237;01/09/2023;01/09/2023
10000275;1;CENTRO              ;101;PALACIO             ;1;1008;8;0.0;0.0;0;Agrupado;1;Abierto;679700;PLAZA                   ;SAN MIGUEL                                        ;31023565;1;NUM;11;  ;0;679700;PLAZA                   ;SAN MIGUEL                                        ;31023565;1;NUM;11;  ;439828.6;4474102.5;99000066;MERCADO DE SAN MIGUEL;1;Centro Comercial;PB;20;MYA QUESOS ARTESANOS / PTOS 20 Y 21;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS DE MOTOR Y MOTOCICLETAS";47;COMERCIO AL POR MENOR, EXCEPTO DE VEHÍCULOS DE MOTOR Y MOTOCICLETAS;472202;COMERCIO AL POR MENOR DE CHARCUTERIA;2023-09-08 07:00:48.237;01/09/2023;01/09/2023
10000306;1;CENTRO              ;103;CORTES              ;3;1062;62;441203.6;4473577.5;1;Puerta Calle;1;Abierto;606900;PASEO                   ;PRADO                                             ;11003372;1;NUM;38;  ;10;606900;PASEO                   ;PRADO                                             ;11003372;1;NUM;38;  ;;;-1;SIN AGRUPACION;-1;SIN AGRUPACION;PB;1;CEIP PALACIO VALDES;P;EDUCACIÓN;85;EDUCACIÓN;852001;CENTRO DE INFANTIL Y PRIMARIA PUBLICO;2023-09-08 07:00:48.237;01/09/2023;01/09/2023
10000308;1;CENTRO              ;102;EMBAJADORES         ;2;1037;37;440134.6;4473142.5;1;Puerta Calle;1;Abierto;774800;CALLE                   ;VENTORRILLO                                       ;11002215;1;NUM;14;  ;10;774800;CALLE                   ;VENTORRILLO                                       ;11002215;1;NUM;14;  ;;;-1;SIN AGRUPACION;-1;SIN AGRUPACION;PB;1;CEIP  EMILIA PARDO BAZAN;I;HOSTELERÍA;56;SERVICIOS DE COMIDAS Y BEBIDAS;562902;SERVICIOS DE COMEDOR EN CENTROS EDUCATIVOS Y CENTROS DE CUIDADO INFANTIL;2023-09-08 07:00:48.237;01/09/2023;01/09/2023
10000391;1;CENTRO              ;106;SOL                 ;6;1121;121;440140.6;4474023.5;1;Puerta Calle;1;Abierto;702600;CALLE                   ;SANTO TOMAS                                       ;20006928;1;NUM;1;  ;10;702600;CALLE                   ;SANTO TOMAS                                       ;20006928;1;NUM;1;  ;;;-1;SIN AGRUPACION;-1;SIN AGRUPACION;PB;1;HOTEL;I;HOSTELERÍA;55;SERVICIOS DE ALOJAMIENTO;551001;HOTELES Y MOTELES CON RESTAURANTE;2023-09-08 07:00:48.237;01/09/2023;01/09/2023
10000398;1;CENTRO              ;104;JUSTICIA            ;4;1088;88;440651.6;4475344.5;1;Puerta Calle;1;Abierto;92900;CALLE                   ;BARCELO                                           ;11005231;1;NUM;2;  ;10;92900;CALLE                   ;BARCELO                                           ;11005231;1;NUM;2;  ;;;-1;SIN AGRUPACION;-1;SIN AGRUPACION;PB;1;CEIP ISABEL LA CATOLICA;I;HOSTELERÍA;56;SERVICIOS DE COMIDAS Y BEBIDAS;562902;SERVICIOS DE COMEDOR EN CENTROS EDUCATIVOS Y CENTROS DE CUIDADO INFANTIL;2023-09-08 07:00:48.237;01/09/2023;01/09/2023
